node_1,node_2
2,562
2,1492
2,6
562,251
562,601
562,1391
1492,6
1492,342
1492,870
1492,1284
6,667
6,598
6,870
6,342
6,1462
6,1284
6,167
3,1351
3,272
1351,806
1351,1142
272,198
272,463
667,167
667,183
667,241
667,285
667,342
667,598
667,777
667,1180
598,1284
598,870
870,1491
870,1284
342,1284
342,575
1462,167
1462,179
1462,393
1462,601
1462,1011
1462,1205
11,618
11,1325
618,596
618,991
1325,113
1325,321
1325,637
13,1223
13,524
13,866
13,620
13,110
1223,110
1223,524
1223,866
1223,1447
1223,1320
524,41
524,110
524,151
524,252
524,418
524,449
524,485
524,614
524,1149
524,640
524,1186
524,705
524,1320
524,1268
524,813
524,1417
524,830
524,1360
524,866
524,1386
524,1447
524,1448
524,839
866,110
866,418
866,640
866,1468
110,813
110,1149
110,151
110,152
110,1447
110,485
110,1268
110,252
16,131
16,1349
16,38
16,550
16,1005
16,773
16,1016
16,766
131,1349
131,662
131,166
131,1005
1349,39
1349,550
1349,645
1349,718
1349,772
1349,1005
550,79
550,213
550,253
550,645
550,718
550,766
1005,54
1005,73
1005,166
1005,184
1005,187
1005,213
1005,291
1005,349
1005,612
1005,645
1005,920
1005,1289
1005,1300
1005,1161
1005,1474
1016,985
1016,1300
766,645
766,748
766,1413
766,930
766,1392
17,1334
17,951
17,1337
1334,113
1334,286
1334,378
1334,406
1334,420
1334,427
1334,473
1334,763
1334,951
1334,1274
1334,1348
1334,1381
951,290
951,367
951,378
951,406
951,743
951,763
951,1067
951,1348
951,1381
18,615
18,421
18,1384
18,478
615,409
615,1384
421,1221
421,1384
421,1132
421,916
421,958
1384,323
1384,520
1384,933
1384,958
1384,1065
1384,1203
1384,1230
1384,1350
478,611
20,1316
1316,113
1316,335
1316,398
1316,647
1316,710
1316,1271
1316,1373
23,646
646,1244
646,845
30,924
30,683
924,290
924,1039
683,800
32,1312
32,1166
32,1020
32,607
1312,426
1312,529
1312,611
1312,1329
1166,429
1166,521
1166,876
1166,1008
1166,1020
1020,95
1020,429
1020,521
1020,607
607,429
33,1300
33,407
33,765
33,1150
33,213
1300,162
1300,213
1300,599
1300,645
1300,897
1300,985
1300,1467
407,505
407,765
765,505
1150,58
1150,184
1150,213
1150,1189
213,139
213,184
213,259
213,645
213,834
213,1474
213,719
213,985
213,612
36,719
719,349
40,1381
1381,136
1381,244
1381,406
1381,427
1381,451
1381,468
1381,553
1381,674
1381,743
1381,763
1381,799
1381,847
1381,1017
1381,1280
1381,1293
1381,1321
1381,1348
53,1230
53,1390
1230,80
1230,541
1230,630
1230,1098
1230,1165
1230,1442
54,645
54,187
54,1464
54,1469
645,166
645,283
645,718
187,723
187,999
187,1468
1464,118
1464,314
1464,361
1464,475
1464,686
1464,890
1464,1050
1464,1498
1469,253
70,1328
70,900
70,1135
1328,78
1328,974
1328,1135
1328,1216
75,933
75,520
75,541
933,174
933,520
933,655
933,903
933,1350
933,1203
933,1065
520,80
520,903
520,1203
520,958
541,958
78,1216
79,718
718,1489
80,666
666,299
81,1393
81,378
81,130
1393,290
378,113
378,271
378,290
378,406
378,1348
378,473
378,763
86,149
149,1054
149,1043
149,1254
92,974
974,1226
93,662
97,652
652,134
652,257
98,299
299,1346
299,643
299,817
101,484
484,112
484,232
484,832
484,1497
484,504
484,574
102,290
102,113
102,1495
290,113
290,128
290,367
290,1129
290,380
290,1174
290,1244
290,1234
290,1260
290,1009
290,1012
290,763
113,398
113,427
113,1348
113,380
113,763
1495,249
1495,395
108,647
647,599
647,621
647,1281
647,1147
109,1233
1233,335
1233,1496
813,1029
1149,1447
1447,418
112,504
112,706
112,982
112,1497
112,574
112,232
504,1497
706,638
706,888
982,221
982,977
982,1466
1497,221
1497,232
1497,827
1497,1310
232,237
427,406
427,1348
427,473
427,553
427,1264
427,851
427,763
1348,318
1348,406
1348,739
1348,763
1348,1006
1348,1017
380,1280
380,847
763,406
763,473
763,1047
119,446
446,854
120,442
442,1409
166,1143
135,894
135,887
135,1304
894,798
894,1359
887,854
887,1141
1304,758
1304,793
1304,1444
136,499
136,271
136,657
136,468
271,286
271,1434
138,473
473,805
473,1264
473,1001
140,435
140,341
341,711
1054,549
1054,1080
1054,1439
1043,159
158,346
158,670
670,1391
159,399
160,958
958,222
958,340
958,634
958,1064
174,776
776,1025
178,854
854,858
854,1140
179,1309
179,285
285,183
285,601
285,1180
285,433
183,1180
1180,1159
184,914
184,368
368,539
186,1221
186,997
1221,558
1221,1168
723,999
999,1468
190,860
860,385
192,612
612,444
612,1292
612,985
612,1493
209,410
209,319
410,739
410,743
319,847
259,672
1474,344
221,1409
221,463
221,976
221,787
221,1132
221,379
221,508
1409,609
1409,1246
976,409
1132,383
1132,926
1132,1376
222,376
222,950
376,268
376,634
223,711
223,827
711,476
711,1376
711,1261
827,642
827,1224
238,1057
1057,302
1057,453
1057,671
1057,916
244,1280
244,451
244,345
244,799
244,1376
244,1017
244,743
244,552
1280,345
1280,799
1280,1017
1280,1293
451,1372
799,311
799,1017
1376,392
1376,464
1376,628
1376,815
1376,843
1376,1095
1376,1369
1017,859
1017,1293
743,639
250,806
806,1246
251,601
251,679
601,393
254,1439
1439,1498
257,876
876,429
260,1310
1310,1263
266,1011
266,1292
266,648
266,506
1011,654
1011,1292
1292,930
1434,469
280,1008
280,980
280,347
280,1326
1008,521
1008,594
1008,688
980,347
980,594
980,1022
980,1424
282,599
599,957
433,385
1174,1012
1234,1009
1009,1250
1012,1074
291,370
291,823
1346,625
643,630
643,989
817,464
817,832
817,1131
301,1226
1226,500
1226,851
1226,1130
302,365
335,1207
355,710
710,1250
358,1263
358,756
358,1373
1263,1368
360,406
406,1026
406,912
406,739
361,861
361,431
371,1386
411,686
916,1271
553,1039
553,947
851,633
851,1039
429,1305
1305,521
1372,517
1372,668
454,630
454,1425
630,1045
464,1371
469,1389
469,1170
1389,1170
1001,548
482,566
482,1405
566,1077
566,1213
486,926
926,1182
492,1147
517,1400
521,1424
521,594
1320,839
1417,839
1360,839
532,1281
1281,1271
542,1140
1039,1408
558,1456
1391,803
563,793
793,798
1077,1243
1213,898
1213,1205
583,989
609,932
610,758
758,1444
758,788
639,1367
1367,1214
655,848
665,1025
1025,1454
777,1159
671,1378
674,1321
674,1171
1321,1274
1250,1288
1250,1459
737,1329
1444,1356
788,792
1047,809
770,1141
798,1271
798,1340
798,895
1271,1181
802,1350
803,815
815,1442
1131,919
843,1146
898,984
977,1466
1007,1293
